akihiko_hoshide&japan, m
alan_pointdexter&usa, m
aleksandr_kaleri&russia, m
aleksandr_misurkin&russia, m
aleksandr_samokutyayev&russia, m
aleksandr_skvortsov&russia, m
aleksey_ovchinin&russia, m
alexander_gerst&germany, m
ames_newman&usa, m
anatoli_ivanishin&russia, m
andre_kuipers&netherlands, m
andreas_mogensen&denmark, m
andrei_borisenko&russia, m
andrew_feustel&usa, m
andrew_morgan&usa, m
anne_mcclain&usa, f
anousheh_ansari&usa, f
anton_shkaplerov&russia, m
aydyn_aimbetov&kazakhstan, m
barbara_morgan&usa, f
benjamin_drew&usa, m
boris_morukov&russia, m
borothy_metcalf-lindenburger&usa, f
brent_jett&usa, m
brian_duffy&usa, m
carl_walz&usa, m
carlos_noriega&usa, m
catherine_coleman&usa, f
charles_camarda&usa, m
charles_hobaugh&usa, m
charles_simonyi&usa, m
chris_hadfield&canada, m
christer_fuglesang&sweden, m
christina_koch&usa, f
christopher_cassidy&usa, m
christopher_ferguson&usa, m
claudie_haignere&france, f
clayton_anderson&usa, m
dafydd_williams&canada, m
daniel_barry&usa, m
daniel_burbank&usa, m
daniel_bursch&usa, m
daniel_tani&usa, m
david_saint-jacques&canada, m
david_wolf&usa, m
dennis_tito&usa, m
dmitri_kondratyev&russia, m
dominic_antonelli&usa, m
dominic_gorie&usa, m
donald_pettit&usa, m
douglas_hurley&usa, m
douglas_wheelock&usa, m
edward_fincke&usa, m
edward_lu&usa, m
eileen_collins&usa, f
ellen_ochoa&usa, f
eric_boe&usa, m
evgeny_tarelkin&russia, m
frank_culbertson&usa, m
frank_winne&belgium, m
franklin_chang-diaz&usa, m
frederick_sturckow&usa, m
fyodor_yurchikhin&russia, m
garrett_reisman&usa, m
gennady_padalka&russia, m
george_zamka&usa, m
gregory_chamitoff&usa, m
gregory_johnson&usa, m
gregory_olsen&usa, m
gregory_wiseman&usa, m
guy_laliberte&canada, m
hans_schlegel&germany, m
hazzaa_almansoori&united_arab_emirates, m
heidemarie_stefanyshyn-piper&usa, f
jack_fischer&usa, m
james_dutton&usa, m
james_halsell&usa, m
james_kelly&usa, m
james_reilly&usa, m
james_voss&usa, m
james_wetherbee&usa, m
janet_kavandi&usa, f
jeffrey_ashby&usa, m
jeffrey_williams&usa, m
jerry_ross&usa, m
jessica_meir&usa, f
joan_higginbotham&usa, f
john_herrington&usa, m
john_olivas&usa, m
john_phillips&usa, m
jose_hernandez&usa, m
joseph_acaba&usa, m
joseph_tanner&usa, m
julie_payette&canda, f
karen_nyberg&usa, f
kate_rubins&usa, f
kathryn_hire&usa, f
kenneth_bowersox&usa, m
kenneth_cockrell&usa, m
kenneth_ham&usa, m
kent_rominger&usa, m
kevin_ford&usa, m
kimiya_yui&japan, m
kjell_lindgren&usa, m
koichi_wakata&japan, m
konstantin_kozeyev&russia, m
lee_archambault&usa, m
lee_morin&usa, m
leland_melvin&usa, m
leopold_eyharts&france, m
leroy_chiao&usa, m
linda_godwin&usa, f
lisa_nowak&usa, f
luca_parmitano&italy, m
maksim_surayev&russia, m
marc_garneau&canada, m
marcos_pontes&brazil, m
mark_hei&usa, m
mark_kelly&usa, m
mark_polansky&usa, m
mark_shuttleworth&south_africa, m
mary_weber&usa, f
michael_barratt&usa, m
michael_bloomfield&usa, m
michael_foale&usa, m
michael_foreman&usa, m
michael_fossum&usa, m
michael_gernhardt&usa, m
michael_good&usa, m
michael_hopkins&usa, m
michael_lopez-alegria&usa, m
mikhail_korniyenko&russia, m
mikhail_tyurin&russia, m
nancy_currie&usa, f
naoko_yamazaki&japan, f
nicholas_patrick&usa, m
nick_hague&usa, m
nicole_stott&usa, f
nikolai_budarin&russia, m
norishige_kanai&japan, m
oleg_artemyev&russia, m
oleg_kononenko&russia, m
oleg_kotov&russia, m
oleg_novitskiy&russia, m
oleg_skripochka&russia, m
pamela_melroy&usa, f
paolo_nespoli&italy, m
patrick_forrester&usa, m
paul_lockhart&usa, m
paul_richards&usa, m
pavel_vinogradov&russia, m
pedro_duque&spain, m
peggy_witson&usa, f
peter_wisoff&usa, m
philippe_perrin&france, m
piers_sellers&usa, m
randolph_bresnik&usa, m
rex_walheim&usa, m
richard_arnold&usa, m
richard_garriott&usa, m
richard_linnehan&usa, m
richard_mastracchio&usa, m
rick_husband&usa, m
robert_behnken&usa, m
robert_cabana&usa, m
robert_curbeam&usa, m
robert_kimbrough&usa, m
robert_satcher&usa, m
robert_thirsk&canada, m
roberto_vittori&italy, m
roman_romanenko&russia, m
ronald_garan&usa, m
salizhan_sharipov&russia, m
samantha_cristoforetti&italy, f
sandra_magnus&usa, f
satoshi_furukawa&japan, m
scott_altman&usa, m
scott_horowitz&usa, m
scott_kelly&usa, m
scott_parazynski&usa, m
scott_tingle&usa, m
serena_aunon-chancellor&usa, f
sergei_krikalev&russia, m
sergei_revin&russia, m
sergei_treshchev&russia, m
sergei_zalyotin&russia, m
sergey_prokopyev&russia, m
sergey_ryazansky&russia, m
sergey_ryzhikov&russia, m
sergey_volkov&russia, m
shannon_walker&usa, f
sheikh_shukor&malaysia, m
soichi_noguchi&japan, m
stanley_love&usa, m
stephanie_wilson&usa, f
stephen_bowen&usa, m
stephen_frick&usa, m
stephen_lendsey&usa, m
stephen_robinson&usa, m
steve_maclean&canada, m
steven_smith&usa, m
steven_swanson&usa, m
sunita_williams&usa, f
susan_helms&usa, f
takao_doi&japan, m
takuya_onishi&japan, m
talgat_musabayev&russia, m
tamara_jernigan&usa, f
terrence_wilcutt&usa, m
terry_virts&usa, m
thomas_jones&usa, m
thomas_mashburn&usa, m
thomas_pesquet&france, m
thomas_reiter&germany, m
timothy_creamer&usa, m
timothy_kopra&usa, m
timothy_peake&greatbritain, m
tracy_caldwell-dyson&usa, f
umberto_guidoni&italy, m
valery_korzun&russia, m
valery_tokarev&russia, m
viktor_afanasyev&russia, m
vladimir_dezhurov&russia, m
wendy_lawrence&usa, f
william_mcarthur&usa, m
william_oefelein&usa, m
william_shepherd&usa, m
yelena_serova&russia, f
yi_so-yeon&south_korea, f
yuri-lonchakov&russia, m
yuri_baturin&russia, m
yuri_gidzenko&russia, m
yuri_malenchenko&russia, m
yuri_onufrienko&russia, m
yuri_shargin&russia, m
yury_usachev&russia, m
